relative_path,filename,month,eem_path,mapping_status,mapping_reason,match_method,excel_row,label,round
1.JAN/ha1-1.xlsx,ha1-1.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha1-1.xlsx,matched,unique laboratory key,label_and_round,22,Ha1,1
1.JAN/ha1-2.xlsx,ha1-2.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha1-2.xlsx,matched,unique laboratory key,label_and_round,23,Ha1,2
1.JAN/ha1-3.xlsx,ha1-3.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha1-3.xlsx,matched,unique laboratory key,label_and_round,24,Ha1,3
1.JAN/ha10.xlsx,ha10.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha10.xlsx,matched,unique laboratory key,label_only,12,Ha10,1
1.JAN/ha11.xlsx,ha11.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha11.xlsx,matched,unique laboratory key,label_only,13,Ha11,1
1.JAN/ha12.xlsx,ha12.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha12.xlsx,matched,unique laboratory key,label_only,14,Ha12,1
1.JAN/ha13.xlsx,ha13.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha13.xlsx,matched,unique laboratory key,label_only,8,Ha13,1
1.JAN/ha15.xlsx,ha15.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha15.xlsx,matched,unique laboratory key,label_only,9,Ha15,1
1.JAN/ha16.xlsx,ha16.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha16.xlsx,matched,unique laboratory key,label_only,10,Ha16,1
1.JAN/ha17.xlsx,ha17.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha17.xlsx,matched,unique laboratory key,label_only,4,Ha17,1
1.JAN/ha18.xlsx,ha18.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha18.xlsx,matched,unique laboratory key,label_only,5,Ha18,1
1.JAN/ha19.xlsx,ha19.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha19.xlsx,matched,unique laboratory key,label_only,6,Ha19,1
1.JAN/ha2-1.xlsx,ha2-1.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha2-1.xlsx,matched,unique laboratory key,label_and_round,7,Ha2,1
1.JAN/ha2-2.xlsx,ha2-2.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha2-2.xlsx,unmatched,no laboratory row for station/month/round,,,,
1.JAN/ha2-3.xlsx,ha2-3.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha2-3.xlsx,unmatched,no laboratory row for station/month/round,,,,
1.JAN/ha2-4.xlsx,ha2-4.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha2-4.xlsx,unmatched,no laboratory row for station/month/round,,,,
1.JAN/ha20.xlsx,ha20.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha20.xlsx,unmatched,"round is absent and multiple laboratory rows match: [1, 2, 3, 4]",,,,
1.JAN/ha21.xlsx,ha21.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha21.xlsx,matched,unique laboratory key,label_only,3,Ha21,1
1.JAN/ha23.xlsx,ha23.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha23.xlsx,matched,unique laboratory key,label_only,15,Ha23,1
1.JAN/ha24.xlsx,ha24.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha24.xlsx,matched,unique laboratory key,label_only,16,Ha24,1
1.JAN/ha25.xlsx,ha25.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha25.xlsx,matched,unique laboratory key,label_only,17,Ha25,1
1.JAN/ha26.xlsx,ha26.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha26.xlsx,matched,unique laboratory key,label_only,18,Ha26,1
1.JAN/ha3-2.xlsx,ha3-2.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha3-2.xlsx,unmatched,no laboratory row for station/month/round,,,,
1.JAN/ha4-2.xlsx,ha4-2.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha4-2.xlsx,matched,unique laboratory key,label_and_round,20,Ha4,2
1.JAN/ha4-3.xlsx,ha4-3.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha4-3.xlsx,matched,unique laboratory key,label_and_round,21,Ha4,3
1.JAN/ha9.xlsx,ha9.xlsx,1,data/2026ER_data_for Viet/1.JAN/ha9.xlsx,matched,unique laboratory key,label_only,11,Ha9,1
