Unnamed: 0,Lebel,Lebel.1,Point,Point.1,Watershed,Classification,Location
,San3,산3,C건지천,Geonji stream,Anseong stream,Industrial stream,"37°00'32.7""N 127°14'32.0""E"
,San16,산16,C구문천,Gumun stream,Etc,Industrial stream,"37°05'11.1""N 126°53'18.3""E"
,San11,산11,C군자천,Gunja stream,Etc,Industrial stream,"37°19'20.3""N 126°42'42.8""E"
,San4,산4,C만우천,Man-u stream,Han River,Industrial stream,"37°49'17.5""N 126°44'41.3""E"
,San15,산15,C반월천,Banwol stream,Etc,Industrial stream,"37°16'50.8""N 126°52'59.6""E"
,San9,산9,C승기천,Seung-gi stream,Han River,Industrial stream,"37°23'47.9""N 126°40'23.6""E"
,San14,산14,C신길천,Shingil stream,Etc,Industrial stream,"37°18'18.4""N 126°44'53.0""E"
,San5,산5,C신천-1,Sin stream-1,Han River,Industrial stream,"37°52'06.8""N 127°01'21.0""E"
,San6,산6,C신천-2,Sin stream-2,Han River,Industrial stream,"37°57'28.6""N 127°03'37.1""E"
,San8,산8,C영평천,Yeongpyeong stream,Han River,Industrial stream,"38°00'39.2""N 127°12'52.6""E"
,San10,산10,C옥구천,Okgu stream,Etc,Industrial stream,"37°19'42.8""N 126°42'06.4""E"
,San17,산17,C원정리수로,Wonjeongli-sulo,Etc,Industrial stream,"36°59'14.4""N 126°49'45.9""E"
,San1,산1,C장안천,Jang-an stream,Anseong stream,Industrial stream,"37°01'49.9""N 127°04'11.4""E"
,San12,산12,C정왕천,Jeongwang stream,Etc,Industrial stream,"37°18'53.0""N 126°43'26.7""E"
,San13,산13,C제4간선수로,Je4ganseon-sulo,Etc,Industrial stream,"37°23'47.9""N 126°40'23.6""E"
,San2,산2,C청룡천,Cheonglyong stream,Anseong stream,Industrial stream,"36°58'31.5""N 127°11'23.1""E"
,San7,산7,C포천천,Pocheon stream,Han River,Industrial stream,"37°57'57.6""N 127°14'37.0""E"
,Ha4,하 4,가양,Gayang,Han River,River,"37°34'02.7""N 126°51'45.9""E"
,Ha2,하 2,경안천11,Kyungan stream 11,Namhan River,River,"37°28'16.4""N 127°17'41.2""E"
,Ha21,하 21,경안천2,Kyungan stream 2,Namhan River,River,"37°14'04.5""N 127°12'35.6""E"
,Ha17,하 17,경안천3,Kyungan stream 3,Namhan River,River,"37°16'44.1""N 127°13'27.6""E"
,Ha18,하 18,경안천5,Kyungan stream 5,Namhan River,River,"37°20'15.1""N 127°14'54.8""E"
,Ha19,하 19,경안천7,Kyungan stream 7,Namhan River,River,"37°23'33.0""N 127°15'05.9""E"
,Ha20,하 20,경안천9,Kyungan stream 9,Namhan River,River,"37°25'43.6""N 127°18'29.7""E"
,Ha14,하 14,구리,Guri,Han River,River,"37°34'31.8""N 127°09'38.2""E"
,Ha11,하 11,김포,Kimpo,Han River,River,"37°36'11.8""N 126°48'12.8""E"
,Ho1,호 1,남양호3,Nam-yang lake 3,Etc,Lake,"37°04'32.4""N 126°52'53.5""E"
,Ha26,하 26,남이섬,Nam-i island,Bukhan River,River,"37°44'21.8""N 127°30'33.1""E"
,Ha13,하 13,도곡,Dogok,Han River,River,"37°34'01.2""N 127°13'29.2""E"
,Ha8,하 8,뚝도,Ttukdo,Han River,River,"37°32'02.1""N 127°02'15.6""E"
,Ha9,하 9,보광,Bogwang,Han River,River,"37°31'37.9""N 127°00'45.4""E"
,Ha7,하 7,선행천,Seonhaeng stream,Etc.,Industrial stream,"37°43'31.2""N 126°28'07.1""E"
,Ha5,하 5,아라천1,Ara stream 1,Etc.,River,"37°34'26.6""N 126°44'22.6""E"
,Ha6,하 6,아라천2,Ara stream 2,Etc.,River,"37°34'01.1""N 126°37'31.1""E"
,Ho1-1,호 1-,아산호1,Asan lake 1,Anseong stream,Lake,"36°54'51.5""N 126°55'24.0""E"
,Ho2,호 2,아산호2,Asan lake 2,Anseong stream,Lake,"36°55'35.8""N 126°57'41.6""E"
,Ho3,호 3,아산호3,Asan lake 3,Anseong stream,Lake,"36°56'56.1""N 126°58'51.8""E"
,Ha1,하 1,안성천3,Anseong stream 3,Anseong stream,River,"36°59'00.9""N 127°04'48.1""E"
,Ha15,하 15,암사,Amsa,Han River,River,"37°34'17.6""N 127°08'23.8""E"
,Ha10,하 10,영등포,Yeongdeungpo,Han River,River,"37°33'00.3""N 126°53'46.3""E"
,Ha3,하 3,임진강2,Imjin stream 2,Han River,River,"38°03'22.1""N 127°01'00.8""E"
,Ha22,하 22,임진강7,Imjin stream 7,Han River,River,"37°54'10.5""N 126°44'34.0""E"
,Ha16,하 16,잠실,jamsil,Han River,River,"37°31'28.2""N 127°05'29.0""E"
,Ho4,호 4,청평댐1,Cheongpyeong dam 1,Bukhan River,Lake,"37°43'27.0""N 127°25'33.0""E"
,Ho5,호 5,청평댐2,Cheongpyeong dam 2,Bukhan River,Lake,"37°42'43.1""N 127°26'56.2""E"
,Ho6,호 6,청평댐3,Cheongpyeong dam 3,Bukhan River,Lake,"37°42'28.8""N 127°28'42.1""E"
,Ha12,하 12,파주,Paju,Han River,River,"37°39'06.7""N 126°43'17.9""E"
,Ha23,하 23,한탄강2,Hantangang 2,Han River,River,"38°02'10.6""N 127°06'15.6""E"
,Ha14,하 24,한탄강3,Hantangang 3,Han River,River,"38°01'52.3""N 127°04'33.0""E"
,Ha25,하 25,한탄강4,Hantangang 4,Han River,River,"38°00'33.0""N 127°03'22.7""E"
