sample_id,eem_filename,eem_relative_path,eem_match_method,eem_excel_row,Label,Point,Year,Month,Round,Depth,Sampling date,Sampling time,Temp(0.0),pH(0.0),"DO
(0.0)","BOD
(0.0)","COD
(0.0)","SS
(0.0)","EC
(0)","T-N
(0.000)","DTN
(0.000)","NO3-N
(0.000)","NH3-N
(0.000)","T-P
(0.000)","DTP
(0.000)","PO₄-P
(0.000)","Chlorophyll a
(0.0)","TOC
(0.0)",Transparency\(0.0),E-coliform group(0),Fecal coliform count(0),"phenol
(0.000)",Color(0),N-Hexane(0.0),"Mn
(0.00000)","Fe
(0.00000)","CN
(0.00)","Cr6+
(0.000)","Cr
(0.0000)","Cu
(0.00000)","Zn
(0.00000)",F(0.00),"Ni
(0.00000)","Ba
(0.00000)"
0,ha1-1.xlsx,1.JAN/ha1-1.xlsx,label_and_round,22,Ha1,Anseong stream3,2023,1,1,0.5,2023.01.02,11:38,2.4,8.4,13.5,1.7,5.7,5.0,560,6.865,6.768,3.831,1.639,0.118,0.111,0.073,0.5,3.5,,48000.0,2400.0,,,,,,,,,,,,,
1,ha1-2.xlsx,1.JAN/ha1-2.xlsx,label_and_round,23,Ha1,Anseong stream3,2023,1,2,0.5,2023.01.09,11:05,5.4,7.9,12.2,1.2,6.3,8.8,662,7.823,7.272,3.828,2.292,0.155,0.095,0.067,1.4,3.9,,39000.0,2500.0,,,,,,,,,,,,,
2,ha1-3.xlsx,1.JAN/ha1-3.xlsx,label_and_round,24,Ha1,Anseong stream3,2023,1,3,0.5,2023.01.18,13:22,4.1,7.9,13.8,2.0,6.0,1.0,462,4.591,4.558,2.913,0.819,0.138,0.092,0.068,0.4,4.1,,33000.0,3100.0,,,,,,,,,,,,,
3,ha10.xlsx,1.JAN/ha10.xlsx,label_only,12,Ha10,Yeongdeungpo,2023,1,1,0.5,2023.01.10,10:45,2.5,8.1,13.6,0.9,3.8,3.4,336,5.111,4.953,3.429,0.617,0.027,0.011,0.009,1.1,2.5,,3200.0,220.0,,,,,,,,,,,,,
4,ha11.xlsx,1.JAN/ha11.xlsx,label_only,13,Ha11,Kimpo,2023,1,1,0.5,2023.01.10,11:16,3.3,7.8,13.7,1.2,4.5,6.2,367,5.93,5.498,3.995,0.793,0.042,0.015,0.005,1.5,2.9,,13000.0,1800.0,,,,,,,,,,,,,
5,ha12.xlsx,1.JAN/ha12.xlsx,label_only,14,Ha12,Paju,2023,1,1,0.5,2023.01.09,13:30,6.5,7.5,12.7,1.3,6.4,52.4,507,9.005,7.795,4.38,2.017,0.067,0.044,0.022,1.0,3.6,,55000.0,2000.0,,,,,,,,,,,,,
6,ha13.xlsx,1.JAN/ha13.xlsx,label_only,8,Ha13,Dogok,2023,1,1,0.5,2023.01.10,12:20,3.5,8.1,14.1,0.8,2.9,1.8,247,2.895,2.703,2.375,0.061,0.118,0.008,0.004,0.8,1.7,,820.0,11.0,,,,,,,,,,,,,
7,ha15.xlsx,1.JAN/ha15.xlsx,label_only,9,Ha15,Amsa,2023,1,1,0.5,2023.01.10,11:04,3.9,8.2,13.7,0.8,3.3,2.6,288,3.223,2.965,2.595,0.097,0.012,0.006,,1.8,2.0,,2800.0,220.0,,,,,,,,,,,,,
8,ha16.xlsx,1.JAN/ha16.xlsx,label_only,10,Ha16,Jamsil,2023,1,1,0.5,2023.01.10,10:45,3.4,8.3,13.1,0.7,3.2,3.4,270,3.177,2.892,2.498,0.066,0.011,,,0.9,1.9,,300.0,70.0,,,,,,,,,,,,,
9,ha17.xlsx,1.JAN/ha17.xlsx,label_only,4,Ha17,Kyungan stream 3,2023,1,1,0.5,2023.01.18,11:21,2.9,7.8,13.3,1.0,3.1,4.2,458,4.06,3.863,2.986,0.377,0.148,0.096,0.096,0.6,1.8,,46000.0,20000.0,,,,,,,,,,,,,
